"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","API_11 - Non-existing ID","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.UserApiTest","User API Tests","com.automation.tests.user.UserApiTest","testGetNonExistingId"
"","99","DB_05 - Verify email uniqueness constraint","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.DatabaseValidationTest","User API Tests","com.automation.tests.user.DatabaseValidationTest","validateEmailUniquenessConstraint"
"","103","DB_01 - Verify user inserted after POST","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.DatabaseValidationTest","User API Tests","com.automation.tests.user.DatabaseValidationTest","validateUserInsertedAfterPost"
"","377","API_01, API_16, API_03, API_04 - CRUD Flow","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.UserApiTest","User API Tests","com.automation.tests.user.UserApiTest","testUserCrudFlow"
"","20","API_09 - Pagination Max Boundary","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.UserApiTest","User API Tests","com.automation.tests.user.UserApiTest","testPaginationMaxBoundary"
"","18","API_10 - SQL Injection in Search","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.UserApiTest","User API Tests","com.automation.tests.user.UserApiTest","testSqlInjectionSearch"
"","1821","API_05 - Duplicate Email Registration","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.UserApiTest","User API Tests","com.automation.tests.user.UserApiTest","testDuplicateEmail"
"","21","API_15 - Get API Info (Root)","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.UserApiTest","User API Tests","com.automation.tests.user.UserApiTest","testGetApiInfo"
"","9","API_14 - Performance","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.UserApiTest","User API Tests","com.automation.tests.user.UserApiTest","testPerformance"
"","419","API_13 - External Failure","Regression Suite","2026-03-09","skipped","2026-03-09","com.automation.tests.user.UserApiTest","User API Tests","com.automation.tests.user.UserApiTest","testExternalFailure"
"","11","API_07 - Missing Fields","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.UserApiTest","User API Tests","com.automation.tests.user.UserApiTest","testMissingFields"
"","589","API_12 - External Connect","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.UserApiTest","User API Tests","com.automation.tests.user.UserApiTest","testExternalConnect"
"","15","API_08 - Pagination Low Boundary","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.UserApiTest","User API Tests","com.automation.tests.user.UserApiTest","testPaginationLowBoundary"
"","14","API_17 - Invalid Data Type (Registered date)","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.UserApiTest","User API Tests","com.automation.tests.user.UserApiTest","testInvalidDataType"
"","31","API_02 - Get Users with pagination","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.UserApiTest","User API Tests","com.automation.tests.user.UserApiTest","testGetUsers"
"","62","DB_02 - Verify update reflected in DB","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.DatabaseValidationTest","User API Tests","com.automation.tests.user.DatabaseValidationTest","validateUpdateReflectedInDb"
"","2556","DB_04 - Verify audit_log inserted correctly","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.DatabaseValidationTest","User API Tests","com.automation.tests.user.DatabaseValidationTest","validateAuditLogAfterUpdate"
"","19","API_06 - Invalid Email","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.UserApiTest","User API Tests","com.automation.tests.user.UserApiTest","testInvalidEmail"
"","74","DB_03 - Verify delete removed record","Regression Suite","2026-03-09","passed","2026-03-09","com.automation.tests.user.DatabaseValidationTest","User API Tests","com.automation.tests.user.DatabaseValidationTest","validateDeleteRemovedRecord"
